Year,Month,Day,Longitude,Latitude,Depth,Hour,Minute,Second,Mw_unified,Relation
1976,10,11,53.48,27.39,84,23,31,25,4.4,mb(Zagros)-Mw
1976,10,12,53.61,27.21,63,1,20,49,5.1,Ms-Mw
1976,10,15,52,30.098,,23,3,27,5.3,mb(Alborz)-Mw
1976,10,16,47.2298,32.884,77.3,17,41,31,4.2,mb(Zagros)-Mw
1976,10,26,58.1176,27.2363,71,1,0,24,4.4,mb(Alborz)-Mw
1976,11,2,46.92,31.64,33,23,16,38,5.1,Ms-Mw
1976,11,6,56.9607,28.1499,33,23,18,51,4.6,mb(Zagros)-Mw
1976,11,7,59.21,33.85,5.6,4,0,52,6,
1976,11,7,50.93,28.44,,14,42,39,5,Ms-Mw
1976,11,11,47.79,32.73,33,18,13,30,5.1,Ms-Mw
1976,11,15,47.881,33.15,53.1,8,3,21,5.3,mb(Zagros)-Mw
1976,11,17,47.25,32.96,33,10,42,21,5,Ms-Mw
1976,11,24,44.03,39.12,9.7,12,22,16,7.3,
1976,12,1,55.0437,26.9169,54.3,11,59,35,4.5,mb(Zagros)-Mw
1976,12,9,56.5389,27.1618,62.7,20,2,22,4,mb(Alborz)-Mw
1976,12,11,46.571,33.692,49.4,4,9,24,5.1,mb(Zagros)-Mw
1976,12,21,47.49,32.67,,14,55,16,4.9,Ms-Mw
1976,12,22,47.63,35.37,39,14,33,30,5,Ms-Mw
1976,12,23,54.2668,28.2,58.4,14,17,47,4.3,mb(Alborz)-Mw
1976,12,31,54.54,31.28,62,21,10,33,4.3,mb(Alborz)-Mw
1977,1,5,56.2,27.46,34.9,5,44,40,5.1,
1977,1,7,50.6281,30.9826,98.9,7,16,0,4,mb(Alborz)-Mw
1977,1,10,46.1,33.58,,15,46,14,5,Ms-Mw
1977,1,12,50.3718,31.9013,33.9,1,49,2,4.9,mb(Alborz)-Mw
1977,1,18,47.99,33.147,49.2,8,48,52,5.3,mb(Zagros)-Mw
1977,1,29,53.288,28.327,44.3,23,39,57,4.6,mb(Zagros)-Mw
1977,2,12,49.07,32.38,22,20,6,31,4.2,mb(Zagros)-Mw
1977,2,14,53.12,27.55,58,5,30,28,4.6,mb(Zagros)-Mw
1977,2,16,54.62,28.69,,0,32,45,5.1,Ms-Mw
1977,2,20,53.21,36.4,33,5,56,23,4.9,Ms-Mw
1977,2,23,47.8,32.43,33,14,12,8,5.4,Ms-Mw
1977,2,25,49.348,32.39,66.4,4,37,12,5,mb(Zagros)-Mw
1977,2,25,56.88,39.83,33,6,25,50,4.2,mb(Zagros)-Mw
1977,3,16,52.4497,31.1125,33,13,19,6,4.1,mb(Zagros)-Mw
1977,3,19,59.36,33.82,,3,29,6,4.7,mb(Alborz)-Mw
1977,3,21,56.44,27.47,23.8,21,18,53,6.7,
1977,3,22,51.376,29.413,42.7,5,32,2,5,mb(Zagros)-Mw
1977,3,24,57.6,28.66,40,4,42,23,5.3,
1977,3,25,56.46,26.75,42,16,11,4,5.1,Ms-Mw
1977,3,27,50.1,31.291,45.5,11,59,52,4.9,mb(Zagros)-Mw
1977,3,31,54.5,30.95,,16,44,43,5.1,Ms-Mw
1977,3,31,52.1503,28.1354,40.7,19,53,17,5.3,mb(Alborz)-Mw
1977,4,6,50.69,31.87,42.5,13,36,35,5.9,
1977,4,6,51.12,30.27,,18,4,19,5,Ms-Mw
1977,4,18,50.54,31.23,,19,23,34,5.1,Ms-Mw
1977,4,24,54.78,39.84,33,0,59,19,4.9,mb(Zagros)-Mw
1977,4,26,49.9,33.65,51.6,16,25,27,5.5,
1977,4,26,48.6143,32.7824,84,17,34,41,4.1,mb(Alborz)-Mw
1977,4,29,48.81,32.8,33,14,28,19,4.9,Ms-Mw
1977,5,2,55.265,36.996,19,15,17,49,5.3,mb(Alborz)-Mw
1977,5,3,56.26,31.74,44,16,26,58,5.1,mb(Zagros)-Mw
1977,5,11,47.847,33.13,41.2,23,46,16,5,mb(Zagros)-Mw
1977,5,13,47.08,34.1,33,7,28,45,5.2,Ms-Mw
1977,5,17,48.43,33.27,55,17,25,41,5,Ms-Mw
1977,5,19,51.15,29.769,38.8,0,8,14,4.9,mb(Zagros)-Mw
1977,5,19,55.266,27.099,33.6,22,58,30,5.3,mb(Zagros)-Mw
1977,5,25,52.06,34.91,38.9,11,1,47,5.3,
1977,5,25,53.398,29.229,36.4,21,6,39,4.9,mb(Zagros)-Mw
1977,5,26,51.69,32.18,33,6,49,9,5.1,Ms-Mw
1977,6,2,53.2724,29.4539,46,3,57,3,4.8,mb(Zagros)-Mw
1977,6,5,47.72,31.85,44.8,4,45,5,6.1,
1977,6,5,48.019,32.741,77,4,59,11,5,mb(Zagros)-Mw
1977,6,5,47.88,32.56,,5,16,52,5,Ms-Mw
1977,6,5,48.77,32.99,,5,55,7,5,Ms-Mw
1977,6,5,48.116,32.484,58.4,7,48,38,4.8,mb(Zagros)-Mw
1977,6,5,48.16,32.56,49.3,8,25,29,5.3,
1977,6,7,48.54,32.81,,17,23,26,5.1,Ms-Mw
1977,6,8,48.22,31.99,,9,28,31,4.9,Ms-Mw
1977,6,10,52.2288,28.5973,,5,28,2,4.9,mb(Alborz)-Mw
1977,6,13,58.4,35.6,33,8,54,1,4.6,mb(Zagros)-Mw
1977,6,15,58.59,27.12,33,3,22,56,4.9,mb(Alborz)-Mw
1977,6,24,50.8507,31.7127,44.3,23,57,5,4.6,mb(Zagros)-Mw
1977,7,3,60.9211,25.168,27.8,6,38,41,4.8,mb(Zagros)-Mw
1977,7,6,49.85,32.24,101,23,0,7,5.1,Ms-Mw
1977,7,14,53.562,26.827,51,15,23,55,4.9,mb(Zagros)-Mw
1977,8,6,57.6149,30.623,96.2,21,44,3,4.2,mb(Zagros)-Mw
1977,8,9,60.084,36.697,7.8,21,43,0,4.6,mb(Alborz)-Mw
1977,8,12,55.0178,26.8032,53.7,0,12,11,4.3,mb(Zagros)-Mw
1977,8,13,54.603,39.8852,7.7,17,37,24,4.1,mb(Alborz)-Mw
1977,8,16,58.141,36.378,33,4,56,53,4.5,mb(Zagros)-Mw
1977,8,16,57.8468,36.6163,33,4,58,37,4.1,mb(Zagros)-Mw
1977,8,17,59.0418,36.422,10.8,16,28,42,4.9,mb(Alborz)-Mw
1977,8,18,49.37,31.63,33,17,29,50,5.3,Ms-Mw
1977,8,28,54.963,27.883,47.7,23,50,29,4.9,mb(Zagros)-Mw
1977,9,3,55.968,36.9949,33,22,5,6,4.6,mb(Alborz)-Mw
1977,9,16,51.457,30.039,33.7,7,5,6,4.6,mb(Zagros)-Mw
1977,9,17,56.63,31,33,5,25,7,5.7,Ms-Mw
1977,9,19,51.303,29.617,35.2,0,23,5,4.9,mb(Zagros)-Mw
1977,9,25,50.87,32.05,88,14,37,38,5.3,Ms-Mw
1977,9,28,47.75,33.35,33,5,36,36,5,Ms-Mw
1977,9,30,45.02,40.04,,16,50,36,4.9,mb(Zagros)-Mw
1977,10,19,55.89,28.81,39.4,6,35,12,5.5,
1977,10,26,51.135,31.505,51.5,17,2,49,4.8,mb(Zagros)-Mw
1977,10,27,50.651,29.645,34.3,0,22,21,5,mb(Zagros)-Mw
1977,10,29,52.16,32.23,33,12,17,36,5.1,Ms-Mw
1977,11,4,55.05,28.27,33,8,51,51,5.1,Ms-Mw
1977,11,9,54.99,36.7,33,11,20,33,5,mb(Zagros)-Mw
1977,11,10,59.388,34.04,6.2,13,52,36,4.6,mb(Zagros)-Mw
1977,12,1,56.78,27.4,33,22,22,1,5.2,Ms-Mw
1977,12,2,56.2519,28.123,75.9,3,50,51,4.3,mb(Zagros)-Mw
1977,12,10,56.6,27.68,43.8,5,46,21,5.6,
1977,12,11,47.34,34.46,42,4,28,25,4.2,mb(Zagros)-Mw
1977,12,19,56.45,30.89,26.1,23,34,33,5.8,
1977,12,27,56.16,27.64,70,21,28,10,5.1,Ms-Mw
1977,12,29,47.44,33.09,33,5,39,19,5,Ms-Mw
1977,12,30,49.52,31.2,33,4,26,16,4.6,Ms-Mw
1978,1,5,53.804,27.473,48.9,19,30,17,5,Ms-Mw
1978,1,5,54.8197,33.6502,33,19,35,37,4.3,mb(Alborz)-Mw
1978,1,6,52.3258,29.7287,33,2,35,15,4,mb(Alborz)-Mw
1978,1,8,50.7827,30.3895,44.2,2,55,50,4.8,mb(Zagros)-Mw
1978,1,10,48.0746,32.4446,49.7,12,36,23,5.2,mb(Zagros)-Mw
1978,1,15,50.89,28.93,,22,50,15,4.3,mb(Alborz)-Mw
1978,1,19,48.286,32.5784,71.7,22,30,41,4.1,mb(Alborz)-Mw
1978,2,10,62.329,25.261,31.3,20,50,48,5.4,Ms-Mw
1978,2,11,55.42,28.21,51.8,21,40,11,5.1,
1978,2,13,56.6372,27.6798,43.6,18,41,51,4.2,mb(Zagros)-Mw
1978,2,16,54.312,32.0918,47.3,21,34,6,4.3,mb(Zagros)-Mw
1978,2,22,56.884,28.115,66.3,20,17,59,5.2,Ms-Mw
1978,2,27,59.8955,37.1436,35.1,12,35,54,4.5,mb(Zagros)-Mw
1978,3,1,56.4764,27.5957,61.4,9,53,50,4.9,Ms-Mw
1978,3,3,48.6239,33.0241,54.4,2,42,50,4.7,Ms-Mw
1978,3,20,57.8048,37.3186,33,23,25,23,4.1,mb(Zagros)-Mw
1978,3,23,53.2825,27.2989,33,11,14,29,4.5,mb(Zagros)-Mw
1978,3,30,49.61,30.78,33,1,23,24,4.2,mb(Zagros)-Mw
1978,3,31,50.0992,30.4464,33,0,33,36,4.4,mb(Zagros)-Mw
1978,4,11,56.197,27.22,43.9,22,49,22,4.6,mb(Zagros)-Mw
1978,4,12,50.636,31.833,44.9,16,46,22,5.2,Ms-Mw
1978,4,30,60.8667,33.1941,33,15,46,44,4.8,Ms-Mw
1978,5,3,49.6478,31.6097,10,12,13,0,4.3,mb(Alborz)-Mw
1978,5,4,54.8958,27.8951,12.3,16,18,36,4.5,mb(Zagros)-Mw
1978,5,11,54.1074,28.0915,45.3,9,55,42,4.4,mb(Zagros)-Mw
1978,5,18,54.746,39.751,35.4,17,14,32,5.2,Ms-Mw
1978,5,20,50.5183,31.7894,133.1,13,8,12,5.2,mb(Alborz)-Mw
1978,5,22,56.18,31.83,33.1,6,18,14,5.1,
1978,5,26,56.5499,27.6495,48.9,12,22,23,4.5,mb(Zagros)-Mw
1978,6,3,53.4396,27.9261,,2,59,44,4.3,mb(Zagros)-Mw
1978,6,14,56.267,38.02,20,16,25,35,5.4,Ms-Mw
1978,6,18,56.558,27.503,62,19,26,26,4.5,Ms-Mw
1978,6,22,47.8084,33.04,33,19,6,3,4.5,Ms-Mw
1978,7,3,51.0045,31.509,37.2,1,35,26,4.1,mb(Alborz)-Mw
1978,7,8,51.5092,29.5646,61.4,7,11,31,4,mb(Alborz)-Mw
1978,7,14,60.3337,25.5658,33,0,38,39,4.2,mb(Zagros)-Mw
1978,7,20,55.2437,38.6643,33,10,20,24,4.3,mb(Zagros)-Mw
1978,7,21,57.6796,28.1765,89.5,18,40,54,4.6,Ms-Mw
1978,7,24,48.7077,33.0761,55.1,15,59,51,4.8,Ms-Mw
1978,7,27,50.8147,29.9741,33,6,58,2,4.3,mb(Zagros)-Mw
1978,7,28,49.7991,31.2535,54.1,2,42,36,4.5,Ms-Mw
1978,7,28,60.3658,29.9048,24.8,14,34,55,4.1,mb(Zagros)-Mw
1978,7,28,49.3997,32.0291,43,19,32,45,4.1,mb(Zagros)-Mw
1978,7,28,52.18,29.7922,21.4,21,48,12,4.1,mb(Zagros)-Mw
1978,7,29,56.2309,27.5123,28.7,8,8,38,4.3,mb(Zagros)-Mw
1978,8,2,55.8864,27.3321,46.5,6,54,30,4.5,mb(Zagros)-Mw
1978,8,9,52.2992,29.6061,23.2,19,32,21,4.1,mb(Zagros)-Mw
1978,8,10,47.9172,34.2039,46.9,19,50,26,4.2,mb(Zagros)-Mw
1978,8,11,50.9921,31.7712,72.3,17,24,26,4.3,mb(Zagros)-Mw
1978,8,27,56.0418,27.241,47.7,20,18,8,4.3,mb(Zagros)-Mw
1978,8,28,49.781,32.633,44.2,0,7,0,5,Ms-Mw
1978,8,29,51.529,29.549,40.5,14,11,3,5.1,Ms-Mw
1978,9,6,56.9841,28.5366,33,13,0,56,4.6,mb(Zagros)-Mw
1978,9,9,56.5878,26.9433,33,22,38,2,4.3,mb(Zagros)-Mw
1978,9,14,49.3436,32.1943,33,14,42,29,4.4,mb(Zagros)-Mw
1978,9,16,46.0383,32.8406,33,12,59,18,4.4,mb(Alborz)-Mw
1978,9,16,57.382,33.238,34.1,15,35,54,7.3,
1978,9,20,49.3604,31.0927,33,7,55,8,4.5,mb(Zagros)-Mw
1978,10,9,49.888,32.495,47.9,16,25,2,4.7,Ms-Mw
1978,10,12,52.9392,27.4606,56.6,3,5,47,4.2,mb(Zagros)-Mw
1978,10,12,54.844,27.774,51,6,54,32,4.9,Ms-Mw
1978,11,4,48.97,37.71,36.8,15,22,19,6.1,
1978,11,6,54.887,33.099,45.8,23,46,41,5.1,Ms-Mw
1978,11,25,44.0692,39.9017,10,8,57,25,4.6,Ms-Mw
1978,11,26,55.4422,32.6093,33,7,11,10,5.1,Ms-Mw
1978,12,14,49.65,32.14,40.4,7,5,20,6.1,
1978,12,14,50.1866,32.6926,,12,52,8,4.1,mb(Alborz)-Mw
1979,1,5,55.652,27.828,46.5,20,0,17,4.8,Ms-Mw
1979,1,10,60.8434,26.3772,33,2,37,16,4.1,mb(Alborz)-Mw
1979,1,10,61.01,26.52,,15,5,45,6,
1979,1,15,56.5673,27.672,58.2,12,27,4,4.6,mb(Zagros)-Mw
1979,1,16,59.51,33.96,9.7,9,50,8,6.5,
1979,1,29,60.4928,34.4517,33,13,49,34,4.1,mb(Zagros)-Mw
1979,2,1,57.9179,27.1526,33,0,23,22,4.4,mb(Zagros)-Mw
1979,2,11,54.8202,27.892,56.3,22,25,20,4.9,mb(Zagros)-Mw
1979,2,22,52.0999,35.2016,33,5,7,17,4.6,mb(Zagros)-Mw
1979,2,24,56.606,37.207,33,13,56,50,5.1,Ms-Mw
1979,3,4,56.24,28.277,53.3,5,43,44,5.2,Ms-Mw
1979,3,8,57.47,37.465,10,22,40,35,5.1,Ms-Mw
1979,3,9,57.2663,37.4861,33,18,14,46,4.3,mb(Zagros)-Mw
1979,3,11,57.5532,27.6389,48.9,2,9,7,4.5,mb(Zagros)-Mw
1979,3,18,52.6467,36.3389,33,5,19,53,4.8,Ms-Mw
1979,3,22,50.582,31.4246,33,3,54,45,4.1,mb(Zagros)-Mw
1979,3,25,52.451,34.861,47.8,2,32,24,4.7,Ms-Mw
1979,3,25,47.8391,32.3424,33,21,16,54,4.3,mb(Zagros)-Mw
1979,3,28,49.93,30.9,58.8,1,33,28,5.2,
1979,4,8,51.6711,29.8371,33,18,27,16,4.1,mb(Zagros)-Mw
1979,4,8,51.6964,30.1155,33,18,30,17,4.5,mb(Zagros)-Mw
1979,4,11,43.872,39.083,15,12,14,25,5,Ms-Mw
1979,4,11,50.3836,30.7774,33,20,2,55,4.1,mb(Zagros)-Mw
1979,4,16,58.5614,36.9162,,12,38,18,4,mb(Alborz)-Mw
1979,4,18,46.408,33.407,65.9,14,42,45,4.9,Ms-Mw
1979,4,25,56.6447,27.4897,33,7,32,14,4.6,Ms-Mw
1979,5,14,61.3699,26.4112,57.1,0,56,31,4.6,Ms-Mw
1979,5,15,51.3568,28.4357,33,0,29,6,4.3,mb(Alborz)-Mw
1979,5,16,47.7708,32.6371,33,22,20,25,4.3,mb(Alborz)-Mw
1979,5,21,61.0579,26.3578,33,8,6,48,4.9,Ms-Mw
1979,5,26,50.3442,29.7318,47.2,7,3,56,4.1,mb(Alborz)-Mw
1979,5,28,55.9477,26.8825,42.5,15,12,43,4.7,mb(Alborz)-Mw
1979,6,1,55.0405,27.6656,54.8,23,38,42,4.3,mb(Alborz)-Mw
1979,6,2,49.6988,32.6212,38.1,1,34,34,4.6,mb(Alborz)-Mw
1979,6,8,55.6162,37.0746,,17,46,10,4.9,Ms-Mw
1979,6,26,49.8774,30.6882,33,16,14,28,4.4,mb(Alborz)-Mw
1979,7,1,46.07,34.802,49.9,9,37,29,4.7,Ms-Mw
1979,7,8,55.0607,27.7258,,19,1,29,4,mb(Alborz)-Mw
1979,7,21,57.2135,28.0089,33,15,8,34,4.5,mb(Zagros)-Mw
1979,8,13,61.1168,26.3786,33,15,40,11,4.8,Ms-Mw
1979,8,14,56.916,28.114,65,23,24,18,4.8,Ms-Mw
1979,8,15,50.6626,30.5012,33,23,10,5,4.3,mb(Zagros)-Mw
1979,8,19,50.2092,31.2429,86,12,14,1,4.4,mb(Zagros)-Mw
1979,8,19,50.885,30.388,53.7,12,23,15,4.8,Ms-Mw
1979,8,25,58.9446,33.5093,15,13,46,25,4.1,mb(Zagros)-Mw
1979,8,26,49.2249,31.5453,,8,49,31,4.4,mb(Zagros)-Mw
1979,8,27,50.1313,30.7441,70.1,12,41,9,4.6,mb(Zagros)-Mw
1979,8,27,56.4034,27.7677,33,15,24,5,4.6,Ms-Mw
1979,8,30,56.372,37.5363,,17,11,56,4.7,mb(Alborz)-Mw
1979,8,31,49.3775,32.5847,45.9,20,40,41,4.9,Ms-Mw
1979,9,3,55.0277,36.6959,23.9,2,7,12,4.5,Ms-Mw
1979,9,4,43.85,39.9,50,7,14,3,4.4,mb(Alborz)-Mw
1979,9,7,49.1486,37.8493,10,22,53,56,4.8,mb(Zagros)-Mw
1979,9,17,52.4472,29.4467,36.6,17,19,34,4.6,Ms-Mw
1979,9,18,54.5742,30.4698,33,17,16,30,4,mb(Alborz)-Mw
1979,9,21,52.6571,29.2118,47.5,8,59,47,4.4,mb(Zagros)-Mw
1979,9,30,54.657,27.797,62.3,20,42,37,5,Ms-Mw
1979,10,2,55.8432,37.0426,33,18,38,25,4.4,mb(Zagros)-Mw
1979,10,4,50.231,31.1774,33,1,25,3,4.7,Ms-Mw
1979,10,6,57.5064,38.3135,15,11,55,42,4.7,Ms-Mw
1979,10,16,48.7146,32.86,33,17,16,23,4.1,mb(Zagros)-Mw
1979,10,17,51.6191,29.5133,33,5,45,40,4.1,mb(Zagros)-Mw
1979,10,25,62.1865,25.6566,44.7,17,37,5,4.9,mb(Zagros)-Mw
1979,11,8,48.8951,38.7058,33,5,22,0,4.5,mb(Zagros)-Mw
1979,11,12,51.3406,31.0521,157.3,23,55,29,4.2,mb(Zagros)-Mw
1979,11,15,60.4254,35.7017,33,7,15,10,4.5,mb(Zagros)-Mw
1979,11,21,48.68,32.541,63.5,14,39,0,5,Ms-Mw
1979,11,21,47.2286,38.1909,41.3,15,36,5,4.9,Ms-Mw
1979,11,25,54.23,26.314,51.9,1,7,7,4.6,Ms-Mw
1979,11,27,59.76,34.06,9,17,10,34,7.1,
1979,11,27,60.6913,34.6918,33,20,54,35,4.3,mb(Zagros)-Mw
1979,11,28,60.7558,35.2957,33,0,41,40,4.1,mb(Zagros)-Mw
1979,11,28,58.9924,26.2315,10,13,15,27,4.6,mb(Zagros)-Mw
1979,12,3,61.2512,26.3715,33,9,47,25,4.5,mb(Zagros)-Mw
1979,12,9,56.87,35.15,22.9,9,12,3,5.5,
1979,12,11,50.399,30.7556,33,21,41,9,4.6,Ms-Mw
1979,12,20,57.5969,33.3382,36.5,0,33,52,4.5,mb(Zagros)-Mw
1979,12,24,52.122,29.152,,19,54,49,4.8,mb(Zagros)-Mw
1979,12,30,55.2516,31.7527,42.7,13,8,2,4.4,mb(Zagros)-Mw
1980,1,1,60.27,26.99,40,2,45,56,5.4,
1980,1,3,50.475,31.8437,65.7,22,6,9,4.5,mb(Zagros)-Mw
1980,1,10,56.4211,32.7801,33,21,8,11,4.6,mb(Zagros)-Mw
1980,1,11,54.224,26.25,15.4,16,52,53,4.8,Ms-Mw
1980,1,11,56.0322,37.054,33,17,42,46,4.6,mb(Zagros)-Mw
1980,1,12,57.23,33.55,13.6,15,31,40,6,
1980,2,1,61.093,26.385,10,18,4,15,5.2,Ms-Mw
1980,2,6,53.879,26.689,48.5,12,56,3,5.2,Ms-Mw
1980,2,7,53.341,27.975,43.6,21,18,38,4.9,Ms-Mw
1980,2,9,51.5268,30.0862,33,20,52,42,4.3,mb(Zagros)-Mw
1980,2,13,57.4202,28.1946,59.7,17,32,25,4.6,mb(Zagros)-Mw
1980,2,19,48.7901,39.1328,43,1,6,5,5,mb(Zagros)-Mw
1980,2,21,47.6349,32.5364,83.9,13,57,5,4.3,mb(Zagros)-Mw
1980,2,21,47.5185,32.5846,62.9,14,8,17,5,mb(Zagros)-Mw
1980,2,25,49.4389,32.3421,86.1,18,40,9,4.1,mb(Zagros)-Mw
1980,2,26,53.518,27.317,60,17,37,12,4.8,mb(Zagros)-Mw
1980,3,4,51.918,29.486,15,17,23,8,4.6,Ms-Mw
1980,3,8,52.7706,26.906,33,23,3,47,4,mb(Alborz)-Mw
1980,3,15,51.1028,29.8322,33,8,43,23,4.4,mb(Zagros)-Mw
1980,3,25,45.5771,39.0257,54.6,3,57,30,4.4,mb(Zagros)-Mw
1980,3,25,45.7247,38.9305,72.2,4,25,25,4.3,mb(Zagros)-Mw
1980,3,28,46.8471,33.5257,69.9,16,25,54,4.2,mb(Zagros)-Mw
1980,3,30,60.1435,29.2307,33,4,42,13,4.9,mb(Zagros)-Mw
1980,3,31,48.3482,33.3675,36.2,9,50,11,4.6,mb(Zagros)-Mw
1980,4,5,48.2852,32.0685,33,2,45,23,4.3,mb(Zagros)-Mw
1980,4,17,48.3906,32.3267,33,15,50,21,4.1,mb(Alborz)-Mw
1980,5,4,49.04,38.07,35.8,18,35,19,6.3,
1980,5,16,56.9996,33.6507,10,9,46,37,4.4,mb(Zagros)-Mw
1980,5,16,45.886,38.861,44.3,19,50,14,4.6,Ms-Mw
1980,5,21,55.1521,39.2563,78,21,4,59,4.2,mb(Zagros)-Mw
1980,5,22,57.3879,26.199,,14,45,0,4.4,mb(Zagros)-Mw
1980,5,28,57.561,28.353,73,10,59,27,4.5,Ms-Mw
1980,6,4,55.1892,27.2124,72.1,0,32,49,4.4,mb(Zagros)-Mw
1980,6,11,57.7302,27.9947,78.2,23,41,50,4.5,mb(Zagros)-Mw
1980,6,12,57.6753,26.9502,33,0,26,31,4.3,mb(Zagros)-Mw
1980,6,30,52.3572,27.7195,33,21,8,4,4.1,mb(Alborz)-Mw
1980,7,6,48.6919,34.3044,33,22,53,58,4.2,mb(Zagros)-Mw
1980,7,13,51.9725,29.6281,47.5,21,17,54,4.5,Ms-Mw
1980,7,16,51.8271,29.5455,70,8,53,52,4.5,mb(Zagros)-Mw
1980,7,20,56.248,27.454,70.7,10,3,27,4.7,mb(Alborz)-Mw
1980,7,23,56.2602,36.8575,33,10,52,33,4.5,Ms-Mw
1980,8,12,52.684,29.4637,42.9,17,4,49,4.5,Ms-Mw
1980,8,15,60.9592,26.6005,39,20,48,12,5,Ms-Mw
1980,8,22,54.917,27.2373,19.4,12,58,34,4.6,Ms-Mw
1980,8,27,48.8086,36.8522,46.4,20,11,14,4.1,mb(Zagros)-Mw
1980,8,29,61.3185,26.3649,33,3,56,38,4.6,Ms-Mw
1980,9,3,56.493,32.1777,47.3,17,12,11,4.5,mb(Zagros)-Mw
1980,9,6,48.134,32.5582,33,2,23,18,4.4,mb(Zagros)-Mw
1980,9,10,57.8333,28.0953,58.7,14,38,15,4.5,mb(Zagros)-Mw
1980,9,13,56.6502,27.6425,67.6,13,23,24,4.2,mb(Zagros)-Mw
1980,9,15,48.9037,33.8462,33,3,57,43,4.6,Ms-Mw
1980,10,1,57.0222,29.1568,118.3,12,5,37,4.2,mb(Zagros)-Mw
1980,10,5,48.2076,33.1159,173.2,4,57,14,4.5,Ms-Mw
1980,10,10,45.9077,38.4019,46.7,11,9,53,4.5,Ms-Mw
1980,10,15,51.625,29.34,36.7,13,27,18,4.9,Ms-Mw
1980,10,19,48.7226,32.6814,66.5,16,11,33,4.4,mb(Zagros)-Mw
1980,10,19,48.59,32.7,47.7,17,24,8,5.6,
1980,10,19,49.0421,32.6264,33,19,25,41,4.8,mb(Zagros)-Mw
1980,10,22,50.597,30.103,43.2,4,52,47,4.6,Ms-Mw
1980,10,28,56.7483,27.8282,33,8,9,36,4.4,mb(Zagros)-Mw
1980,10,28,56.5,27.59,,21,15,30.1,5.3,
1980,10,31,58.575,35.658,17.5,4,6,50,4.7,Ms-Mw
1980,11,10,49.23,31.0389,,5,29,19,4.1,mb(Alborz)-Mw
1980,11,17,56.08,27.36,44.8,18,26,30,5.2,
1980,11,21,52.3207,28.3225,71.5,12,43,29,4.3,mb(Zagros)-Mw
1980,11,22,52.1422,28.0073,35.4,22,16,21,4.5,mb(Zagros)-Mw
1980,11,27,49.814,32.619,64.3,16,26,52,4.5,Ms-Mw
1980,11,28,56.61,27.02,42.8,21,15,28,5.4,
1980,11,29,56.9568,26.8652,65.5,15,36,18,4.1,mb(Zagros)-Mw
1980,12,3,50.38,37.08,43.9,4,26,13,5.3,
1980,12,11,45.977,40.284,10,0,14,36,4.6,Ms-Mw
1980,12,14,46.7108,33.2487,141.5,1,15,9,4.3,mb(Alborz)-Mw
1980,12,18,44.67,36.01,74.2,12,34,15,5.9,
1980,12,18,44.0542,36.0331,,16,40,58,4.6,mb(Alborz)-Mw
1980,12,19,50.64,34.47,29.2,1,16,54,6,
1980,12,19,52.3781,35.2493,,16,54,18,4.4,mb(Alborz)-Mw
1980,12,27,50.619,30.18,33,22,7,11,4.1,mb(Alborz)-Mw
1980,12,29,44.9778,38.5467,65.7,21,53,7,4.5,mb(Zagros)-Mw
1981,1,2,56.2699,28.6667,,4,1,20,4.6,mb(Zagros)-Mw
1981,1,2,48.46,32.73,65.7,4,57,57,5.2,
1981,1,4,44.847,38.473,38.3,7,19,45,4.7,Ms-Mw
1981,1,6,56.557,28.125,71.2,7,23,40,4.8,Ms-Mw
1981,1,21,55.999,27.4337,52.3,8,12,38,4.4,mb(Zagros)-Mw
1981,1,21,63.5279,25.0612,,20,27,13,4.4,mb(Zagros)-Mw
1981,1,25,53.9297,26.3498,,23,20,9,4.1,mb(Alborz)-Mw
1981,1,28,53.499,27.633,42.2,4,27,10,4.7,Ms-Mw
1981,1,30,56.5588,27.585,73.3,23,27,39,4.6,Ms-Mw
1981,1,31,56.1692,27.4419,18.8,6,58,44,4.3,mb(Zagros)-Mw
1981,2,19,49.3402,32.3919,54,14,43,49,4.3,mb(Alborz)-Mw
1981,3,9,55.199,27.765,51.4,5,26,52,4.5,mb(Zagros)-Mw
1981,3,13,48.6744,32.8733,79.1,22,48,27,4.4,mb(Zagros)-Mw
1981,3,21,53.15,28.067,64,6,18,29,4.9,Ms-Mw
1981,3,22,59.5308,34.137,33,9,34,16,4.6,Ms-Mw
1981,3,26,53.9613,26.7365,33,6,23,53,4.1,mb(Alborz)-Mw
1981,3,29,50.8564,34.3726,21,17,20,51,4.3,mb(Alborz)-Mw
1981,4,1,51.5,29.85,41,10,16,58,5.2,
1981,4,7,44.5073,35.5581,33,15,15,23,4.1,mb(Alborz)-Mw
1981,4,16,56.35,27.73,52.6,10,27,17,5.1,
1981,4,18,49.2836,31.4543,,3,56,0,4.2,mb(Zagros)-Mw
1981,4,18,52.03,29.345,27.7,13,35,44,4.6,Ms-Mw
1981,4,24,56.9811,29.0358,33,4,48,37,4.5,mb(Zagros)-Mw
1981,4,29,44.8897,37.3521,,19,48,49,4.4,mb(Zagros)-Mw
1981,4,30,57.2113,33.2377,38.5,10,21,28,4.8,mb(Zagros)-Mw
1981,5,1,53.964,33.144,37.6,8,55,4,4.4,mb(Zagros)-Mw
1981,5,4,45.735,34.338,52.6,16,13,57,4.8,Ms-Mw
1981,5,7,56.2528,27.0739,33,0,42,35,4,mb(Alborz)-Mw
