ID	group	Sc	Ti	V	Cr	Mn	Co	Ni	Rb	Sr	Y	Zr	Nb	Ba	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Yb	Lu	Hf	Ta	Pb	Th	U
bl11a	KREEP-rich	25.3	10636	42	1753	1246	79.3	260	1.43	176	263	1277	86.3	959	86	222	29.2	132	36.7	2.78	42.3	7.09	48.4	10.1	29.2	27.3	3.84	28	3.67	6.02	16.3	3.67
bl4a	KREEP-rich	28.5	10783	56	1898	1242	33.2	229	8.6	161	174	731	59.4	732	56.4	146	19.4	88.3	24.6	2.16	27.3	4.69	32.4	6.79	19.5	17.8	2.56	16.4	2.57	3.77	9.86	2.4
b9a	KREEP-rich	26.9	13179	40	1443	1171	28.1	66	0.89	195	238	1139	81.9	991	76.6	194	25.7	118	32.5	2.8	38.1	6.45	43.9	9.11	26.6	24.9	3.54	25.3	3.61	0.5	15	2.44
b10a	KREEP-rich	23.5	10957	42	1589	1311	63.7	217	0.73	170	194	894	67.6	833	62.6	163	21.2	96.4	27	2.28	30.7	5.19	35.8	7.48	21.7	20	2.84	20.1	2.97	1.29	11.9	2.11
b13a	KREEP-rich	22.2	13167	35	1484	1165	69	238	2.07	185	234	1024	85.1	1070	74.8	195	25.8	116	31.9	2.85	37.4	6.28	43.1	9.01	25.6	23.9	3.29	23.1	3.85	5.3	13.7	2.46
b18a	KREEP-rich	30.2	11501	54	1476	1401	28.9	68	1.18	191	216	1049	78	982	69.3	177	23.2	103	28.9	2.77	33.2	5.73	39.4	8.46	24.1	22.9	3.27	23.1	3.34	0.67	14.5	2.11
b21a	KREEP-rich	27.6	12159	42	1194	1232	33.3	161	2.68	201	231	1035	76.6	935	75.4	194	25.9	117	32.6	2.92	37.3	6.36	43.2	8.79	25.6	23.9	3.33	23	3.35	0.93	14.2	2.21
b23a	KREEP-rich	24.9	13325	33	1131	1115	34.3	113	1.27	189	226	1092	76.6	947	72.1	182	24.4	111	30.6	2.73	35.4	6.13	41.2	8.77	25.4	23.1	3.37	23.9	3.32	0.21	14.4	2.13
b29a	KREEP-rich	27	13469	38	1386	1197	26.4	69	0.89	207	249	1197	84.6	1011	79.9	205	27.4	124	34.4	2.9	39.3	6.68	45.2	9.46	27.6	26	3.63	26	3.64	0.9	15.8	2.25
b28a	KREEP-rich	26.9	13108	33	1078	1147	25.3	93	2.57	216	284	1381	109	1089	94.9	245	32.2	146	39.8	3.28	45.8	7.74	52.7	10.8	31.9	29.1	4.07	29.6	4.34	0.58	17.7	2.91
b41a	KREEP-rich	25.2	11280	36	1326	1108	35.9	128	1.36	185	234	1129	78.7	912	76.4	193	25.8	118	32.4	2.76	37.6	6.48	43.6	9.14	26.4	24.5	3.5	24.9	3.46	0.01	15	2.79
b43a	KREEP-rich	28.4	12709	42	1258	1263	37.8	141	0.91	179	218	1023	74.6	876	70.8	183	24.4	109	30.5	2.54	35.2	5.92	40.5	8.51	24.4	22.6	3.17	22.8	3.26	4.45	13.4	1.82
b35a	KREEP-rich	28.3	12957	35	968	1202	25.9	66	0.96	191	236	1107	77.9	838	76.3	193	26.1	118	32.6	2.75	37.5	6.35	43.9	9.13	26.1	24	3.36	23.6	3.39	1.32	14.2	1.59
b48a	KREEP-rich	23.6	11449	41	1559	1076	19.5	39	2.68	182	228	1057	76.7	906	73.2	193	25.2	114	31.8	2.47	36.8	6.2	42.1	8.88	25.6	23.8	3.39	23.8	3.39	0.88	14.1	3.8
b47a	KREEP-rich	25.4	15114	30	864	1142	28.2	70	0.81	208	251	1169	92.6	1252	83	217	28.5	128	35.1	3.09	40.2	6.83	47.2	9.81	28.4	27.1	3.81	25.9	4.17	6.95	17.2	1.81
b46a	KREEP-rich	26.7	11827	31	844	1157	27.5	71	0.79	196	227	1068	76.6	891	74.2	188	25.3	115	32.2	2.6	36.4	6.3	42.5	8.77	25.6	23.4	3.37	23.4	3.28	0.24	14.2	1.48
b45a	KREEP-rich	24.5	17305	37	1508	1152	20.3	47	17.3	195	275	1123	102	1232	88.9	234	30.3	135	37.5	3	43.7	7.41	50.5	10.6	31.1	29.2	4.16	25.5	4.29	6.89	18	4.21
b62a	KREEP-rich	25.1	18875	43	1812	1088	24.4	113	12.5	192	259	1173	84.8	1204	82.4	214	28.1	129	36.2	2.88	41.3	7.02	47.9	10	29	26.5	3.73	26.3	3.87	6.13	15.6	4.01
b63a	KREEP-rich	26.5	12592	33	1157	1187	39.4	114	0.68	195	240	1158	80.5	985	77.1	192	25.9	119	32.8	2.83	38.1	6.5	44.4	9.25	27	24.8	3.62	25.6	3.63	0.21	15.2	2.05
b65a	KREEP-rich	27.2	12480	34	1016	1151	27.5	76	0.94	194	244	1172	80.7	937	78.7	196	26.6	121	34.1	2.81	38.6	6.69	44.6	9.42	27.3	25	3.56	25.6	3.56	0.24	15.1	1.81
b68a	KREEP-rich	27.2	12243	38	1206	1191	30.9	92	1.11	192	242	1161	80.2	951	78.4	201	26.7	121	33.3	2.64	38.3	6.6	44	9.28	26.9	25	3.54	25.5	3.54	2.97	15.3	2.07
b71a	KREEP-rich	22	11328	27	1082	924	118	195	0.46	187	244	1193	80.3	993	76.8	195	26.3	121	33.5	2.62	38	6.55	44.7	9.43	27.4	25.4	3.66	26.5	3.52	0.13	15.5	2.11
b74a	KREEP-rich	25.7	12057	38	1250	1135	32	107	1.59	187	207	943	70	877	66.1	170	22.7	103	28.8	2.59	32.8	5.59	37.8	8.03	23.2	21.3	2.91	21.1	3.14	3.05	12.6	1.96
b75a	KREEP-rich	28.5	13526	37	1161	1187	23.5	47	0.7	208	253	1200	84.4	996	80.3	200	27.2	124	34.8	2.96	39.8	6.78	46.3	9.77	28.3	26.2	3.69	26.3	3.8	0.18	15.4	2.08
b77a	KREEP-rich	26.9	12262	31	851	1136	30.9	92	0.91	191	230	1101	77.3	893	73.2	184	24.9	113	32.2	2.62	36.7	6.17	41.6	8.82	25.7	23.4	3.39	24	3.34	0.19	14.3	1.56
b78a	KREEP-rich	20.7	10563	32	1352	1009	32	110	6.44	195	262	1092	90.1	1085	81.8	210	27.8	128	36.2	3.01	40.5	7.17	48.1	9.98	28.8	26	3.63	24.8	4.16	0.19	14.2	3.25
b79a	KREEP-rich	30.2	14059	43	1373	1267	23.3	45	0.7	212	245	1171	82.9	1003	79.7	201	26.9	123	34.3	3.07	38.7	6.65	45.4	9.46	27.9	25.2	3.57	25.8	3.6	0.2	15.2	2.26
b84a	KREEP-rich	20.5	11497	30	1274	1040	21.7	68	18.3	184	268	1388	98.4	1065	85.5	219	28.5	130	36	2.67	41.7	7.11	48.4	10.3	29.9	28.2	4.06	30.4	4.06	7.22	18.3	4.67
b81a	KREEP-rich	25.4	11766	51	1774	1146	90.7	190	1.8	167	193	900	64.6	718	61.1	158	20.9	97	26.3	2.28	30	5.18	34.9	7.46	21.3	19.5	2.75	19.6	2.83	1.54	11.5	2.83
b86a	KREEP-rich	26	13061	31	883	1139	30.1	103	0.76	243	256	1236	85.5	1051	83.7	213	28.5	129	36.2	3.56	41.1	6.89	46.7	9.96	28.6	26.3	3.73	26.6	3.69	0.85	15.6	1.63
b89a	KREEP-rich	26.7	12462	30	806	1149	28	75	0.8	199	258	1216	85.7	963	83.8	210	28.6	131	36.2	2.9	40.7	7.05	47.3	9.83	28.8	26.1	3.7	26.7	3.76	0.11	15.9	1.62
b90a	KREEP-rich	24.6	10852	47	1922	1536	92	460	1.76	157	210	993	70.3	766	66.2	169	22.3	103	28.5	2.27	33.3	5.69	38.3	8.02	23.4	21.2	2.99	21.5	2.97	0.13	12.4	2.47
b91a	KREEP-rich	24.5	12653	27	1034	1055	24	56	1.46	194	279	1354	91.8	1129	87.9	224	29.9	136	38.9	3.03	43.2	7.51	50.6	10.7	31.2	28.9	4.16	29.7	4.06	1.5	17.9	2.4
b92a	KREEP-rich	27.1	12605	29	751	1122	24.7	53	0.51	211	260	1234	84.1	1027	82.1	202	27.6	127	35.2	2.94	40.3	6.96	46.7	9.84	28.6	26.1	3.73	26.5	3.68	0.03	16	1.46
