Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
"1276300",,Finland,Europe,ECRINS,"1","0",0.25,4.00,2.26,1.47,0.00,"3",5.9,0.004,4242.4,"81",6.78,0.5,26.675598,61.560035
"1276305",,Finland,Europe,ECRINS,"1","0",0.66,4.36,1.52,3.93,0.00,"3",6.0,0.036,1264.2,"110",5.21,4.7,27.009375,61.559577
"1276321",,Russia,Europe,MODIS,"1","0",0.11,1.45,1.23,0.49,0.00,"3",4.4,0.002,2826.2,"100",4.77,0.3,30.011733,61.557423
"1276335",,Finland,Europe,ECRINS,"1","0",0.44,4.23,1.79,2.76,0.00,"3",6.2,0.031,1032.3,"98",6.35,4.1,26.919308,61.555403
"1276336",,Russia,Europe,MODIS,"1","0",0.15,1.88,1.36,0.81,0.00,"3",5.3,0.008,1172.2,"110",6.34,1.1,29.925843,61.555100
"1276342",,Finland,Europe,ECRINS,"1","0",0.70,5.22,1.76,5.00,0.00,"3",7.1,0.010,5791.8,"82",7.28,1.1,27.730208,61.554982
"1276345",,Russia,Europe,MODIS,"1","0",0.27,2.15,1.17,1.23,0.00,"3",4.6,0.003,4761.1,"91",4.01,0.4,30.047872,61.554274
"1276353",,Finland,Europe,ECRINS,"1","0",0.70,4.48,1.51,4.03,0.00,"3",5.8,0.174,267.8,"80",4.70,21.0,28.036422,61.552126
"1276365",,Russia,Europe,MODIS,"1","0",0.40,2.70,1.21,1.85,0.00,"3",4.7,0.002,10712.6,"101",3.65,0.2,30.034311,61.551075
"1276374",,Finland,Europe,ECRINS,"1","0",0.94,6.57,1.91,5.45,0.00,"3",5.8,0.017,3711.0,"108",4.28,2.1,28.993137,61.550208
"1276381",,Finland,Europe,ECRINS,"1","0",0.47,5.72,2.36,3.22,0.00,"3",6.9,0.031,1200.5,"100",7.74,3.9,29.214576,61.549465
"1276389",,Finland,Europe,ECRINS,"1","0",0.81,5.73,1.80,4.17,0.00,"3",5.2,0.997,48.4,"78",3.58,126.3,27.159719,61.547951
"1276418",,Russia,Europe,MODIS,"1","0",0.73,4.33,1.43,3.19,0.00,"3",4.4,0.002,18443.6,"111",2.63,0.3,30.014583,61.544271
"1276427",,Finland,Europe,MODIS,"1","0",0.18,1.73,1.15,0.87,0.00,"3",4.9,0.002,5058.3,"63",5.03,0.2,29.503561,61.542928
"1276430",,Finland,Europe,ECRINS,"1","0",0.65,4.57,1.61,3.49,0.00,"3",5.4,0.992,40.8,"77",4.23,125.7,27.154948,61.542168
"1276431",,Finland,Europe,ECRINS,"1","0",0.51,9.30,3.67,4.14,0.00,"3",8.1,0.032,1498.0,"69",10.45,3.8,27.593193,61.542196
"1276432",,Finland,Europe,ECRINS,"1","0",0.29,4.40,2.31,1.67,0.00,"3",5.8,0.003,6444.5,"80",6.28,0.4,27.624643,61.542413
"1276433",,Finland,Europe,ECRINS,"1","0",0.26,3.60,2.00,1.94,0.00,"3",7.5,0.004,5612.2,"68",11.13,0.5,27.753125,61.542396
"1276446",,Finland,Europe,ECRINS,"1","0",0.51,3.22,1.28,2.12,0.00,"3",4.2,0.015,1632.2,"94",2.68,2.0,26.524091,61.540787
"1276460",,Finland,Europe,ECRINS,"1","0",0.42,5.36,2.34,1.64,0.00,"3",3.9,0.014,1351.7,"77",2.50,1.6,28.049604,61.538005
"1276473",,Russia,Europe,MODIS,"1","0",0.14,1.67,1.28,0.58,0.00,"3",4.3,0.002,3329.9,"95",4.20,0.2,29.961458,61.536515
"1276481",,Russia,Europe,MODIS,"1","0",0.11,1.45,1.22,0.41,0.00,"3",3.6,0.005,941.0,"99",3.13,0.7,30.034117,61.536447
"1276482",,Russia,Europe,MODIS,"1","0",0.23,1.95,1.15,1.25,0.00,"3",5.5,0.008,1806.8,"69",5.94,1.0,30.044973,61.536472
"1276508",,Finland,Europe,ECRINS,"1","0",0.51,5.33,2.10,2.24,0.00,"3",4.4,0.127,204.6,"93",2.93,15.7,28.793621,61.533493
"1276522",,Finland,Europe,ECRINS,"1","0",0.67,4.28,1.47,3.47,0.00,"3",5.2,0.159,252.3,"72",3.79,22.2,26.609344,61.531777
"1276524",,Finland,Europe,ECRINS,"1","0",0.67,4.67,1.61,3.26,0.00,"3",4.9,0.007,5388.5,"79",3.37,0.9,26.620534,61.531314
"1276527",,Finland,Europe,ECRINS,"1","0",0.51,5.00,1.97,3.58,0.00,"3",7.0,0.016,2591.0,"87",7.77,1.8,27.773958,61.530645
"1276531",,Finland,Europe,ECRINS,"1","0",0.41,4.13,1.83,1.88,0.00,"3",4.6,0.010,2174.7,"82",3.55,1.2,27.278773,61.529560
"1276538",,Finland,Europe,ECRINS,"1","0",0.10,1.80,1.61,0.34,0.00,"3",3.4,0.005,785.5,"73",2.95,0.6,29.528710,61.528726
"1276539",,Finland,Europe,ECRINS,"1","0",0.48,3.21,1.31,1.64,0.00,"3",3.4,0.002,9465.8,"64",1.80,0.2,29.546875,61.528751
"1276550",,Finland,Europe,ECRINS,"1","0",0.43,2.88,1.23,1.85,0.00,"3",4.3,0.004,5351.6,"88",2.90,0.6,26.656697,61.526841
"1276551",,Russia,Europe,MODIS,"1","0",0.70,4.31,1.45,3.75,0.00,"3",5.3,0.005,8678.4,"97",3.99,0.6,29.971370,61.526526
"1276552",,Russia,Europe,MODIS,"1","0",0.13,1.52,1.17,0.52,0.00,"3",3.9,0.003,1990.5,"105",3.47,0.4,30.007730,61.526259
"1276577",,Finland,Europe,ECRINS,"1","0",0.20,3.20,2.02,0.83,0.00,"3",4.2,0.018,532.3,"85",3.54,2.3,27.162337,61.522436
"1276583",,Finland,Europe,ECRINS,"1","0",0.61,4.75,1.71,2.93,0.00,"3",4.8,0.019,1783.6,"96",3.29,2.6,26.780301,61.521476
"1276584",,Finland,Europe,ECRINS,"1","0",0.23,3.20,1.89,1.30,0.00,"3",5.7,0.009,1674.6,"63",6.48,1.0,27.877162,61.521027
