AFFINITY	SAMPLE_ID	LATITUDE	LONGITUDE	SIO2(WT%)	TIO2(WT%)	AL2O3(WT%)	FE2O3(WT%)	FEO(WT%)	CAO(WT%)	MGO(WT%)	MNO(WT%)	K2O(WT%)	NA2O(WT%)	P2O5(WT%)	LA(PPM)	CE(PPM)	PR(PPM)	ND(PPM)	SM(PPM)	EU(PPM)	GD(PPM)	TB(PPM)	DY(PPM)	HO(PPM)	ER(PPM)	TM(PPM)	YB(PPM)	LU(PPM)	SC(PPM)	V(PPM)	CR(PPM)	CO(PPM)	NI(PPM)	CU(PPM)	ZN(PPM)	GA(PPM)	RB(PPM)	SR(PPM)	Y(PPM)	ZR(PPM)	NB(PPM)	SN(PPM)	CS(PPM)	BA(PPM)	HF(PPM)	TA(PPM)	PB(PPM)	TH(PPM)	U(PPM)
OIB	19843	-17.7	-149.45												46.33	104.06	13.35	53.73	11.06	3.15	9.29	1.46	7.05	1.23	2.83	0.37	2.08	0.29									54.38	592.4	35.15	384.1	58.86			537.6	8.98	3.45	4.35	6.56	1.77
OIB	6885-74-422	-17.756	-149.475												43.52	99.58	12.82	51.49	10.75	3.16	9.31	1.44	6.85	1.17	2.61	0.34	1.85	0.25									36.82	815.5	33.31	318.4	52.87			409.2	7.25	3.15	3.48	5.44	1.45
OIB	T85-41	-17.7	-149.45	52.66	3.22	14.21			8.77	4.55		1.89	2.86	0.48	38.07	86.25	10.76	41.2	8.9	2.83	8.34	1.35	6.8	1.24	2.96	0.41	2.34	0.34									33	455	34.2	298.9	38.4			460.8	7.41	2.32	1.26	5.41	1.53
OIB	4124-T85-19	-17.62	-149.47	46.09	3.03	12.87			11.79	9.67		1.11	2.05	0.43	38.17	86.79	11.67	40.6	8.6	2.62	7.86	1.25	6.28	1.16	2.74	0.38	2.21	0.31									25.7	659	33.91	283.8	45.66			394.4	6.33	2.63	3.32	5.02	1.29
OIB	31846	-17.62	-149.47	46.42	2.54	13.2	2.77	8.48	9.76	10.6	0.17	1.23	3.19	0.59	27.7	59.7			6.2	2.11		0.94					1.41	0.2	20	232	385	53	234	68	112		31	820	25	209	57			425	3.8			4	
OIB	126708	-17.62	-149.47	46.8	3.4	13.78			10.4	6.2	0.18	0.67	3.85	0.48	35.5	78.5		46.5	9.6	2.88	8.8		6.8		2.9		2.22		27.5	330	117	41	85				13.5	610	32	232	44			228				3.7	
OIB	15741	-15.95	-5.7												81.6	160	19.3	67.8	12.1	3.6	9.95		7.68	1.48	3.83		3.29	0.493									54.8	770			130			584			4.74		2.51
OIB	10202	-15.95	-5.7												28.47	58.3		29.1	6.13	1.976	5.76		4.43		2.05		1.575	0.213																			1.71		0.797
OIB	1351-SC74	-15.95	-5.7												42.6	83.7	11.2	43.7	7.89	2.52																				290		2.2			6.25				
OIB	10568	-15.95	-5.7	45.31	2.62	12.94			10.94	11.67	0.19	0.81	2.05	0.49																274	422	71	254	69			17	512	29	211	50			276					
OIB	1362-2882	-15.95	-5.7	45	2.57	12.6	3.09	9.25	11.4	9.5	0.11	0.97	2.52	0.14	31.7	64.8	7.8	32.3	6.68	2.25	6.2		4.75		2.09		1.55	0.211									16.1	581		170	38.5	2.05		275	4.33		2.08		0.86
OIB	18539	-15.95	-5.7	45.65	2.71	14.99			12.51	6.64	0.17	0.78	2.71	0.38	28.2	57.8		31.1	6.65	2.19		1.03					1.9	0.29	39	268	194	460	97	47	88		14	498	23	173	44			217	4.51	2.5		2.99	0.97
OIB	3553-109	-15.95	-5.7	48.37	3.49	17.34			9.18	3.63	0.17	1.6	3.89	0.76	52.1	110.5		48.2	9.6	3	8.6						2.5	0.35	27	237	22	45	15	23	123		32	734	33	305	86			408					
MORB	AII0107-6-058-012	-53.98	-7.235	48.04	1.57	16.21	1.4	9.27	8.43	9.53	0.17	0.74	3.22	0.4	17.4	37.6		18.9	4.11	1.46		0.69					2.38	0.35	31	166	286	52	204	49	88		4.8	505	24	149	22			112			
MORB	AII0107-6-057-016	-54.045	7.223	49.97	1.45	15.61	1.3	8.68	11.14	8.78	0.18	0.16	2.83	0.13	3.51	11.3		9.5	3.37	1.27		0.84					3.42	0.48	40	258	362	53	185	76	82		2.2	114	30	89				11.3			
MORB	POLANT4-4-006-002	-52.35	13.13	50.17	1.69	16.23			9.68	7.96	0.18	0.41	3.94	0.29	10.7	27.4	3.55	15.7	4.51	1.58	5.45	0.96	6.11		3.72		3.55		34	228	274	44	153	50	72		7.3	212	37	164	16.4			77			
