AFFINITY	SAMPLE_ID	LATITUDE	LONGITUDE	SIO2(WT%)	TIO2(WT%)	AL2O3(WT%)	FE2O3(WT%)	FEO(WT%)	CAO(WT%)	MGO(WT%)	MNO(WT%)	K2O(WT%)	NA2O(WT%)	P2O5(WT%)	LA(PPM)	CE(PPM)	PR(PPM)	ND(PPM)	SM(PPM)	EU(PPM)	GD(PPM)	TB(PPM)	DY(PPM)	HO(PPM)	ER(PPM)	TM(PPM)	YB(PPM)	LU(PPM)	SC(PPM)	V(PPM)	CR(PPM)	CO(PPM)	NI(PPM)	CU(PPM)	ZN(PPM)	GA(PPM)	RB(PPM)	SR(PPM)	Y(PPM)	ZR(PPM)	NB(PPM)	SN(PPM)	CS(PPM)	BA(PPM)	HF(PPM)	TA(PPM)	PB(PPM)	TH(PPM)	U(PPM)
MORB	TRI0138-008-001	51.28	-30.02	50.43	1.05	17.93	1.08	6.54	12.49	7.24	0.13	0.09	2.67	0.1	2.3	7		6.5	2.5	0.9		0.6				0.38	2.6	0.37	34	219	322	37	175				0.87	121					0.01	10					
MORB	AII0107-7-014-077	-37.187	-17.515	50.47	1.26	16.02	2.21	6.82	12.14	8.13	0.16	0.29	2.43	0.14	6.5	15.6		10.1	3.17	1.34	4.9	0.98				0.55	2.49	0.39		255	338	43	116	68	67		7.3	155	30	96	7.9			81
MORB	TRI0089-021-003	38.43	-30.36	50.49	2	15.12	1.89	8.71	9.97	5.72	0.18	0.84	3.06	0.33	20			19	4.8	1.8		0.9					3.3	0.33	35	298	23	44	35				16.6	263					0.208	211
MORB	TRI0138-009-002	51.56	-29.92	50.49	1.29	16.94	1.24	7.75	11.88	7.45	0.16	0.07	2.72	0.13	2.3	8.3		7.7	3.1	1.1		0.7				0.49	2.5	0.42	37	247	261	41	109				0.62	100					0.006	704
MORB	TRI0154-008-001	39.2	-29.95	50.59	1.55	16.2	1.75	7.64	11.58	6.57	0.16	0.61	2.6	0.25	15	32.5		18.3	4.5	1.4		0.8				0.61	2.3	0.36	36	232	157	37	70				12.9	218					0.158	161
MORB	TRI0154-013-001	44	-28.39	50.61	0.92	17.43	1.15	6.21	13.53	7.62	0.13	0.17	2.13	0.1	4.1	10		7	2.2	0.8		0.5				0.36	2.2	0.35	36	212	432	34	101				2.93	124					0.038	36
MORB	TRI0119-006-006	35.84	-34.18	50.62	1.06	15.03	1.15	8.42	12.52	8.33	0.18	0.17	2.2	0.07	4.1			7.8	2.3	0.9		0.5					2.3	0.39	38		255	44	74				2.84	95					0.033	33
MORB	TRI0138-006-001	50.043	-28.933	50.62	1.57	15.65	1.47	8.61	10.92	7.43	0.17	0.11	3.04	0.17	3.5	11.7		11.4	4.2	1.4		1				0.56	3.6	0.54	36	288	187	42	100				1.23	97					0.016	13
MORB	AII0073-1-002-019	36.745	-33.253	50.64	1.07	15.03	1.6	7.93	12.56	8.05	0.18	0.19	2.06	0.14	5.7				2.6	0.9		0.5					1.9	0.3	38	278	307	41	90				4.54	111					0.063	51
MORB	TRI0122-003-009	40.23	-29.59	50.72	1.01	15.58	0.81	9.21	12.13	7.62	0.16	0.08	1.92	0.11	2.4			5.3	2.4	0.8		0.6					2.5	0.39	38		370	43	84				1.61	59					0.022	21
MORB	CHN0043-104-016	45.18	-27.9	50.75	1.25	14.73	1.85	7.69	10.79	8.36	0.17	0.28	2.51	0.13	5.3			10.6	3.2	1.3		0.9					4.1	0.44	40		399	50	155				4.13	104					0.108	41
MORB	TRI0138-007-001A	50.46	-29.42	50.75	1.22	15.64	1.08	7.58	11.19	9.11	0.15	0.1	2.79	0.13	2.8	9.1		8.5	2.9	1		0.7				0.45	2.9	0.42	35	246	381	42	172				1.09	111					0.014	13
MORB	TRI0154-012-002	43.37	-28.98	50.75	1.29	16.02	1.75	6.73	12.19	7.7	0.15	0.39	2.46	0.16	11.4	26.4		15.3	3.4	1.3		0.7				0.53	2.3	0.41	41	252	257	41	112				7.13	166					0.098	76
MORB	TRI0154-015-002	42.79	-29.36	50.75	1.47	15.37	1.63	8.06	11.64	7.06	0.18	0.55	2.44	0.18	12.1	27.2		14.9	3.9	1.3		0.8				0.65	2.7	0.4	39	302	91	40	59				9.6	174					0.107	114
MORB	TRI0154-017-002	41.67	-29.26	50.81	0.98	14.12	0.93	8.89	12.12	9.09	0.17	0.1	1.93	0.1	3.8	10		7.4	2.5	1		0.7				0.47	2.9	0.52	48	285	494	52	163				2.63	65					0.03	31
MORB	TRI0154-007-001B	39.94	-29.67	50.82	1.05	15.21	1.14	8.53	12.23	8.55	0.16	0.18	1.99	0.12	5.3	12.9		8.7	2.6	0.9		0.6				0.45	2.7	0.41	41	266	377	44	136				2.81	79					0.032	37
MORB	AII0107-7-002-053	-46.212	-14.073	50.83	1.33	15.79	2.71	7.09	11.64	8.26	0.17	0.13	2.31	0.14	4.88	12.1		9.6	3.46	1.25	5	0.81				0.56	3.36	0.48		282	321	45	147	72	81		3.2	117	35	99	3.3			40
MORB	AII0073-1-013-006	36.477	-33.638	50.86	1.12	15.17	1.45	8.28	12.53	7.78	0.18	0.2	2.19	0.14	5.8				2.5	0.9		0.6					2.4	0.4	42	284	126	46	63				5.12	101					0.057	57					
MORB	AII0107-7-017-071	-35.278	-15.735	50.86	1.61	15.73	3.01	6.89	11.07	7.59	0.18	0.29	2.71	0.19	7.33	21.8		15.7	5.34	1.82		1.07	7.2			0.72	4.4	0.6		288	249	41	123	61	80		6.6	143	41	129	8.1			77					
MORB	TRI0154-020-003	39.76	-29.69	50.91	1.31	15.66	1.41	7.64	11.99	7.51	0.17	0.45	2.14	0.17	11.2	26.1		13.7	3.6	1.2		0.8				0.48	2.5	0.32	41	268	104	43	62				10.1	181					0.114	127					
MORB	ABP1985-043-003	13.773	-44.988	51.13	1.37	14.65			11.07	9.61	0.16	0.26	2.41	0.18	6.2			10.66	3.1																		4.67	142.4	28	88.7	11.6				2.3	0.67		0.47	
MORB	TRI0122-005-002	37.73	-31.47	51.13	1.41	14.53	2.34	9.03	11.2	6.25	0.19	0.44	2.46	0.21	13.4			13.3	3.2	1.5		1					3.1	0.58	46		51	40	38				10.9	143					0.143	127					
MORB	AII0107-7-015-003	-36.558	-17.587	51.18	1.69	16.01	3.53	6.22	11.49	6.9	0.16	0.43	2.74	0.15	6.92	17.8		13.6	4.64	1.55	6	0.88				0.67	3.46	0.46		302	225	44	132	70	82		10.3	155	39	121	8.6			86					
MORB	ABP1985-046-003	14.71	-45.02	51.33	1.68	14.8			10.75	7.4	0.17	0.74	2.58	0.24	11.7			20.92	4.31																		11.58	232.5	30	133.3	20.5			108	3.1	1.32		1.1	
MORB	ABP1985-045-001	14.5	-44.84	51.76	1.71	14.89			10.83	7.32	0.16	0.69	2.77	0.26	12			16.56	4.13																		9.7	217.6	29	133.7	19.5			129	3.1	1.38		1.28	
MORB	TRI0154-010-003	38.7	-30.19	51.85	1.74	15.66	1.84	7.49	10.5	5.96	0.16	1	3.18	0.33	24.7	52		27.3	6.3	1.9		1.1				0.97	2.9	0.46	35	277	120	37	61				22.5	281					0.283	268					
MORB	ARP1973-010-003	36.8372	-33.2482	45.4	0.45	10.8	1	8.6	8.95	22.6	0.15	0.06	1.1		1.41					0.34		0.2							18.2	140	1640	76	900	85	50					33					0.62	0.15		0.141	0.074
MORB	ALV0525-005-002	36.812	-33.273	48.4	0.81	15.3	0.39	8.33	11.8	11.2	0.15	0.11	1.84	0.1	2.68	6.54		4.59	1.39	0.51	1.88		2.26		1.45		1.38		33	167	580	51	262	81	56														
MORB	CHR0098-010-203	31.067	-41.417	49.31	1.26	15.63	10.31		11.73	8	0.17	0.06	2.4	0.13	2.11			7.45	2.82																		0.58	101.1		71	1.28								
MORB	CHR0098-007-101	32.283	-40.183	49.42	1.3	14.77	10.78		11.5	8.63	0.18	0.08	2.4	0.14	2.31			7.73	2.89																		0.75	94		77	1.6								
MORB	CHR0097-002-101	39.78	-29.645	49.9	1.17	14.51	10.29		11.78	8.98	0.16	0.31	2.15	0.12	7.4					0.88		0.5							34.7	275	448	43	136		70		7.7	137	26	76	13.8		0.09	90	1.92	0.83		0.87	0.28
MORB	HUD1966-009-004	45.35	-28.03	50.08	1.41	17.1	2.68	6.65	11.8	6.32	0.11	0.52	2.9	0.14															56	410	230	49	77	81	92		7.98	118	28	87	10.9		0.245	78			5		
MORB	CHN0043-107-006	45.19	-27.91	50.14	1.31	15.35	1.35	7.96	11.31	8.65	0.17	0.24	2.36	0.15	7.1	17		10.6	3.2	1.2		0.8				0.68	2.6	0.4		289			147				4.91	124					0.066	81					
MORB	ABP1985-045-002	14.5	-44.84												13.62	30.05		16.88	4.15	1.448	5.92	0.894	4.82				2.74	0.379	35	291	240	39					10.12	217.6											
MORB	ALV0527-006-001	36.808	-33.25												7.9	18.9		11.2	3.2	1.2		0.81					2.8	0.435									6.74	107					0.069	68	2.316				
MORB	HUD1966-009-018	45.35	-28.03	49.1	1.24	16.5	2.43	6.4	12.2	7.46	0.14	0.34	2.5	0.15															56	400	250	60	120	70	75	48		95		120				75			2		
MORB	WAS1965-010-076	22.17	-45.25	49.25	1.12	16.57	3.04	5.16	12.42	7.29	0.16	0.17	2.77	0.12																245	330	40	75	75	140	17		135		85				7			5		
MORB	CHR0031-002-301	36.7933	-33.2583	49.31	0.99	14.94	1.14	7.57	13.15	8.23	0.16	0.29	2.17	0.1															42.3	242	159	50.1	98.8	88.2	28.7	14.9	5.6	135	20.5	56.9	10.3			61.1					
MORB	WAS1965-002-018	22.52	-45	49.41	1.12	16.31	1.8	6.92	11.85	8	0.16	0.06	2.61	0.15																265	370	50	120	85	110	18		95		85				3			2		
MORB	AGU0032-007-001	-52.27	-4.83	49.64	1.37	15.88	1.37	9.11	10.98	8.16	0.19	0.24	2.39	0.17															41	226	311	50	166	63	84		4.1	125	32	105	5.4			45					
MORB	HUD1966-001-003	45.65	-28.15	49.7	1.25	15.5	1.28	8.46	11.2	9.1	0.11	0.29	3	0.13															53	390	370	48	160	81	90	47	5.5	120	27	85	10.7			70			1		
MORB	NADHS88-006-003	23.3585	-44.948	49.78	1.62	15.67			11.18	7.36	0.17	0.23	2.98	0.17				11.28	3.73											291							2.267	153.1	35	122	6					0.325			
MORB	ARP1974-012-019	36.858	-33.258	50	1	15	0.98	8	12.73	9.62	0.17	0.16	2	0.1	4.8					0.81		0.5							33.2	239	412	36	153	73	63					52					1.74	0.4		0.44	
MORB	AII0073-1-004-017	36.742	-33.287	50.25	1.07	15.33	1.23	8.15	12.43	8.09	0.17	0.16	2.09	0.15				8.3	2.6										41	282	470	45	90				2.94	94					0.033	36					
MORB	AGU0032-004-111	-54.03	-2.13	50.28	2.11	13.89	1.7	11.33	10.12	6.38	0.21	0.27	2.47	0.2															44	355	76	51	64	45	117		2.8	119	47	135	5.4			42					
MORB	ARP1973-007-001	36.828	-33.262	50.4	0.88	15.2	1.5	7.83	12	10.1	0.15	0.16	1.9		4.5					0.79		0.42						0.263	25	185	600	40	260	73	60					75					1.338	0.52		0.486	0.157
MORB	AGU0032-005-001	-52.98	-4.33	50.46	1.46	14.68	1.27	8.49	11.81	7.44	0.19	0.47	3.16	0.22															39	246	157	46	51	66	78		8	199	27	104	13			93					
MORB	AGU0032-010-001	-51.28	-5.85	50.53	1.6	14.95	1.34	8.92	11.6	7.2	0.19	0.39	2.94	0.2															42	277	202	46	67	64	81		4.7	183	31	108	7.3			68					
MORB	AGU0032-009-001	-51.62	-5.6	50.58	1.79	14.14	1.46	9.7	10.88	6.67	0.2	0.38	2.81	0.2															44	310	52	48	38	57	95		6.6	176	34	122	9.9			80					
MORB	AII0127-1-011-005	36.152	-33.9855												5.28			7.97	2.44																		3.93	89.5		58	7.57								
MORB	AII0127-2-038	37.111	-32.3475												4.21			6.39	2.06																		3.82	104.6		50	6.96								
MORB	AII0127-2-054	34.0672	-37.6495												3.57			7.12	2.5																		3.31	105.6		61	4.92								
MORB	ALV0521-004-003	36.82	-33.28												7.1	15		9.4	2.5	0.97		0.72					2.5	0.43									5.35	121					0.083	56					
MORB	ALV0534-003-001	36.797	-33.265												5.3	12.5		8.4	2.3	0.95		0.72					1.9	0.29									3.74	108					0.039	46					
MORB	THO0152-047-039	45.295	-130.087	48.41	1.22	16.17			11.99	8.54	0.18	0.09	2.25	0.11	2.7	10.3		7.8	2.74	1.1		0.6					3.03	0.44	43.4	241	325	78	140		99	17	0.91	117	27.6	79	2.5				2	1.1			
MORB	TULCUR1-021-004	48.492	-129.038	48.86	1.73	16.81		9.29	11.57	7.29	0.15	0.23	2.74	0.21	8.28	18.2		13	4.03	1.62		0.81					2.99	0.45	35	284	199	37.1	71		56		6	185	28	124	13			64	2.87	0.82		0.89	0.37
MORB	THO0152-055-001	45.938	-129.993	49.13	1.47	14.52			12.24	7.42	0.19	0.16	2.54	0.15	4.7	13.8		10.2	3.18	1.28		0.6					3.07	0.46	46.8	299	319	88	60		104	17	1.6	153	28.3	97	5.6				2.4	2.1			
MORB	THO0152-065-056	46.353	-129.678	49.7	1.58	14.15			11.5	7.13	0.21	0.15	2.62	0.15	3.7	11.9		8.6	3.07	1.1		0.67					3.63	0.57	44.6	320	244	64	83		95	18	1.3	96	31.6	91	4.1				2.4	0.7			
MORB	THO0152-001-024	47.845	-129.155	50.12	1.59	14.79			12.04	7.38	0.17	0.38	2.49	0.22	7.76	22.2		13.8	3.6	1.34		0.61					2.96	0.426	44.9	270	193	73	64		85	17	4.5	195	27.4	122	10.4				2.69	1.84			
MORB	THO0152-077-007	45.671	-130.061	47.19	1.27	16.32			11.24	10.69	0.18	0.03	2.43	0.1	2.3	9.6		8.1	2.67	1.12							2.96	0.46	40.2	222	489		274		80	16	0.4	138	27.2	86	1.7				2.1	1.1			
MORB	THO0170-047-003	45.9817	-130.333	49	1.61	14.23			11.91	6.95	0.19	0.17	2.96	0.15	5.2	16.8		11.3	3.55	1.33		0.69					3.31	0.48	48.2	309	137	62.1	62		93	18	1.7	153	30.3	103	5.6				2.7	0.5			
MORB	THO0152-067-001	46.665	-129.5117	49.46	2.1	13.55			10.53	6.75	0.23	0.18	2.53	0.2	5.7	20.6		14.4	5.14	1.58		1.07					5.04	0.73	44	382	151	66	81		126	21	2.2	98	46.4	143	6.8				3.8	0.8			
MORB	THO0152-013-001	47.208	-129.124	49.9	2.33	13.29			10.45	6.28	0.26	0.14	2.37	0.25	5.7	19		15.3	5	1.77		1.12					5.65	0.81	47.7	445	89	66	54		137	20	1.2	109	50.5	165	4.7				4.2	1.1			
MORB	YAQDEFF-002-A	44.597	-130.313	50.2	2.18	13.7			10.8	6.17		0.16	2.75		5.96	18.2		16.7	5.24	1.73	6.42		8.65		5.34		5.2						27				3.1	75		154			0.106	20.4	4.3		0.665	0.298	0.139
MORB	YAQDEFF-003-A	44.737	-129.35	48.9	1.9	14.4			11.6	7		0.08	2.28		3.72	12.1		11.3	4.12	1.42	5.84		7.39		4.53		4.42										0.98	80					0.014	12.4			0.403	0.188	0.116
MORB	YAQDEFF-001-A	44.33	-129.92	49.8	2.94	13.2			9.55	5.86		0.22	2.9		7.7	23.8		20.5	6.82	2.23	8.83		11.1		6.82		6.57						33				1.97	100					0.022	20.2			0.357	0.466	0.267
MORB	THO0152-053-006	45.962	-130.055	49.17	1.44	14.69			12.31	7.4	0.2	0.19	2.62	0.13																288	287		51		92	17	2.1	150	27.6	94	4.8								
MORB	THO0152-021-041	46.926	-129.262	49.59	1.93	13.97			11.02	6.76	0.22	0.16	2.35	0.19																370	193		67		123	18	2	95	42.7	132	7.7								
MORB	LEE81WF-11-005-067	44.6395	-130.377	49.7	1.89	13.7	13.4		11	6.74	0.21	0.18	2.69	0.18																368	89.4		50		121	18.9	2.1	114.3	40.8	132	5.5								
MORB	YAQDEFF-KD11	42.83	-126.92	49.5	1.22	16.2			12.1	8.2		0.19	2.57		4.66	12.33		9.49	3.1	1.11	3.8		4.98		3.04		2.89						163				3.88	135		80			0.05	45.7	2.7		0.462	0.454	0.152
MORB	YAQDEFF-013-E	41.262	-127.47	49.9	1.08	17.3			12.78	7.08		0.18	2.45		2.86	8.76		7.55	2.67	1	3.41		4.72		2.9		2.76						112				2.95	115		71.9			0.077	12.7	2		0.409	0.161	0.062
MORB	YAQDEFF-007-F	41.393	-127.47	49.4	1.65	16.7			11.8	6		0.6	2.52		13.8	29.3		15.8	3.92	1.37	4.16		4.63		2.67		2.51						147				5.8	317					0.14	120			1.286	1.209	0.509
MORB	YAQDEFF-004-Z	41.4	-127.482	49.7	1.53	15.4			11.4	7.1		0.1	2.29		4.12	12.2		10.7	3.8	1.33	5.23		7.03		3.98		3.83						78				0.91	99					0.013	18			0.562	0.342	0.166
MORB	ENV7025-002-008	50.89	-130.55	47.33	1.3	16.91	10.23		12.36	9.5	0.16	0.22	2.29	0.09	3.3	10.4		8.2	3.2	1.19	3.9	0.69				0.5	2.8	0.35	33	212	342	67	206				4	182	22	101	4			42					
MORB	ENV7714-033-A	50.08	-130.3	47.99	1.26	15.18	10.65		12.91	10.17	0.18	0.27	1.79	0.13	6.8	17.4		12	3.1	1.11	4.3	0.62				0.45	2.3	0.32	37	229	575	43	204				8	150	22	84	11			44					
MORB	ENV7222-007-001	50.33	-129.5217	48.24	3.53	10.69	19.33		8.38	5.44	0.3	0.53	2.79	0.39	15.2	44.8		30.7	9.9	3.02	12.5	2.09				1.22	7.8	1.08	36	400	171	42	147				10	133	65	280	19			21					
MORB	ENV7714-036-X	49.92	-130.18	48.72	1.62	13.57	12.71		12.12	8.87	0.21	0.19	2.26	0.14	4.6	13		9.9	3.7	1.3	4.6	0.79				0.54	3.1	0.43			278	42	78				5	122	26	100	7								
MORB	ENV7906-032-039	49.99	-129.88	49.11	1.75	13.44	12.27		11.29	8.95	0.2	0.43	2.23	0.2	11.9	31		18.6	4.5	1.46	5.2	0.88				0.59	3.5	0.48	38	283	393	42	136				9	155	26	137	20			102					
MORB	ENV7025-003-001	50.7717	-130.4183	51.25	2.33	15.6	10.47		11.95	5	0.16	0.58	3.24	0.28	12.5	34		22.8	6.4	2.06	6.8	1.26					3.1	0.46	38		177	70	66				7	345	34	164									
MORB	WASSIQR-008-006	8.397	-104.417	48.2	2.52	15.2	2.31	8.56	9.69	7.15	0.17	0.9	3.79	0.44	18.48	41.19			6.67	2.02		1.17					3.68	0.54	28.8	297	196	43	113	44	97		13.09	342		289					5.2		2.15	1.4881	0.4941
MORB	MOA8712-057-004	-18.88	-113.45	48.66	1.69	15.43			11.37	7.91	0.18	0.06	2.69	0.14	2.96	10.46	1.8	10.17	3.581	1.48	5.31		6.32	1.41	4.26		3.79		45	322	340	45	137	72	83		0.48	114.7	40	115	3						0.401		
MORB	ARGAMPH-001	-7.83	-108.13	48.8	0.74	20.1	0.69	4.82	13.1	7.2	0.16	0.06	2.18	0.07	1.95	6.5		5.61	1.92	0.77					1.83		1.72		30	170	350	28	130	64		14	3	140	21	44			0.019	12.4			0.49		
MORB	DSDP065-0485A-029-001/30-32	22.7487	-107.9038	48.98	2.38	14.34			11.1	7.3	0.17	0.11	2.34	0.25	3.8	15		15.8		1.94	7.64	1.39				0.9	5.62	0.92			226		86		78	23	2	129	46	138	2			29	4.28	0.19	0.68	0.25	
MORB	WECWELO-002-002	-10.133	-110.202	49.04	1.76	16.94	1.48	7.26	11.3	7.41	0.16	0.74	2.95	0.34	11.7	26.2			4.08	1.44		1.06					2.95	0.44	34.3		243		122				9.8	240		150			0.07	100	3.53			1.22	
MORB	MOA8712-065-003	-17.95	-113.26	49.51	1.47	14.57			11.86	7.55	0.19	0.05	2.44	0.1	2.5	8.75	1.41	8.192	3.064	1.41	4.61		5.77		3.82		3.54		49	344	225	47	86	82	82		0.46	96.4	37	86	2						0.3		
MORB	ARGAMPH-003	-12.867	-110.95	49.8	2.02	14.88	1.55	10.24	10.72	6.74	0.21	0.24	2.91	0.28	3.5	16.5	1.49	8.23	3.1	1.2		0.65	5.2	0.913		0.412	2.8	0.411	56	400	160	35	58	80		20	2	86	25.5	150			0.01241	25			0.49	0.19	0.08
MORB	MOA8712-061-001	-18.6	-113.42	50.13	1.89	14.08			11.01	6.58	0.22	0.12	2.95	0.14	3.87	11.9	2.06	12.43	4.408	1.55	5.99		7.21	1.64	4.82		4.19		50	389	50	59	44	60	101		0.56	122.7	43	123	3						0.488		
MORB	WASSIQR-007-A	8.375	-103.682	48.19	0.83	14.12	0.95	8.37	10.19	15.23	0.14	0.02	1.41	0.14	1.4			9.16	3.07	0.8								0.35	38.9	120	930	94	245	130			0.39	164	29	100				5.8			2		
MORB	WASDPSN-004-015	9.117	-105.003	48.2	1.86	16.2			10.57	9.08	0.16	0.38	3.1	0.28	9.46	24.9			4.79	1.46		0.86					3.12	0.47	32.3	255	349	70	142	60	78		6.9	223						103	4				0.228
MORB	ODP0142-0864A-001M-006/0-75	9.5142	-104.2443	49.3	1.68	14.4	11.5	9.11	11.6	7.56	0.193	0.147	2.81	0.16	4.06	12.32	2.14	11.31	3.92	1.34	5.23	1.03	6.31	1.34	3.77	0.58	3.67	0.57	44.8	322	241	45	75	64	106			122	37	100				10.91	3.07	0.22		0.1713	0.06889
MORB	ODP0142-0864A-005Z-001/24-30	9.5142	-104.2443	49.44	1.85	14.74	12.74		11.66	7.33	0.2	0.13	2.89	0.18	4.23	13.27	2.29	12.57	4.28	1.45	5.79	1.12	6.98	1.56	4.26	0.57	3.49	0.56	43.9	349	167	43.2	50	64	117			125	39.6	113	2.94			10.1	2.75	0.19			
MORB	CYA1984-005-008	-18.52	-113	49.27	2	13.86	13.18		11.07	7	0.2	0.05	2.97	0.2	3.92	13.24		12.32	4.91	1.64	5.19		6.95		4.24		4.49	0.69		380	212	40	73					116	45	123	2			5					
MORB	MOA8712-051-005	-19	-113.47	49.29	1.69	15.65			11.45	7.62	0.19	0.07	2.59	0.14				8.52	3.186										44	323	345	43	127	62	85		0.4	97.3	39	114	2						0.39		
MORB	CHRCLIP-007-001	11.433	-103.783	49.55	2.06	15.91			10.97	6.92	0.17	0.62	3.33	0.25	11	28.5		20.6	5.29	2.15	6.45		6.57		4.03		3.54	0.45		272	210	41	103	63	78		10	287	37	155	16			134					
MORB	CYA1984-007-003	-17	-113	49.9	1.52	14.76	11.19		12	7.65	0.17	0.12	2.65	0.17	3.5	10.54		9.21	2.68	1.26	4.18		5.06		2.67		3.04	0.54		339	309	40	88					121	32	91	2								
MORB	SONGMP5-371	-11.874	-110.7233	49.9	1.28	15.6	1.49	7.84	12.2	8.07	0.17	0.08	2.69	0.11	2.4	10		7.7	2.4	0.92	3.7		4.6	0.89	2.9		2.6	0.41			315	43	92		73	16		133	28	96									
MORB	CYA1982-009-003	12.715	-103.913	50.01	1.84	16.09	9		11.26	7.54	0.16	0.39	2.95	0.22	8.6	22.5		15.1	4.59	1.61	4.85		5.39		3.14		3.13	0.43		37	251	39	99					231	255	163	11								
MORB	ARGAMPH-004	-18.87	-113.317	50.4	1.6	14.3	1.35	7.85	12.3	7.1	0.18	0.12	2.75	0.09	3.18	9.58		9.72	3.45	1.29	4.81	0.76	5.7		4.05		3.4										0.436	125					0.008	6.7			0.53
MORB	MOA8712-BC11-001	-18.19	-113.33	50.72	1.65	14.46			11.71	6.58	0.2	0.06	2.47	0.09				9.724	3.642										49	383	145	42	53	43	87		0.39	98.3	35	97	2						0.346
MORB	SONGMP5-412	-7.3948	-107.7905	50.8	1.84	14	2.5	8.86	11.2	7.05	0.2	0.3	2.88	0.21	6.2	19		12	3.9	1.47	4.6		6.4	1.3	4.1		3.5	0.57			199		55		101	17	6	141	41	135	6						
MORB	MOA8712-051-004	-19	-113.47	50.91	1.42	14.66			11.92	7.37	0.19	0.07	2.3	0.09				8.493	3.175										48	354	223	43	68	49	82		0.41	97	33	84	2						0.315
MORB	MOA8712-103-004	-13.38	-112.13	46.63	0.83	16.16			11.06	11.57	0.18	0.05	1.84	0.04				4.108	1.801										35	202	595	61	346	105	71		0.05	71	25	39	1						0.108
MORB	MOA8712-036-004	-20.52	-113.87	49.36	2.59	13.47			9.59	5.64	0.24	0.15	2.88	0.23				17.67	6.213										47	510	60	44	42	56	131		1.98	99.67	64	178	5						0.55
MORB	MOA8712-069-004	-17.27	-113.18	49.51	1.34	15.65			12.13	8.43	0.17	0.09	2.04	0.11				7.7	2.738										44	319	391	46	132	84	79		0.92	104.4	31	81	3						0.254
MORB	MOA8712-029-001	-20.88	-114.17	49.58	1.25	15.9			11.85	8.32	0.16	0.07	2.71	0.1				7.188	2.56										41	270	365	41	122	73	70		0.23	98.42	30	82	2						0.258
MORB	MOA8712-090-006	-14.85	-112.7	49.61	1.96	13.87			10.82	6.69	0.21	0.23	2.68	0.19				12.56	4.201										44	390	63	46	52	76	102		2.52	106.5	47	135	6						0.464
MORB	MOA8712-075-002	-16.75	-113.08	49.75	1.69	14.24			11.41	7.27	0.2	0.1	2.32	0.13				9.024	3.302										46	386	187	46	72	78	96		0.57	93.17	40	102	2						0.294
MORB	MOA8712-084-002	-15.52	-112.88	49.76	2.1	13.77			10.82	6.6	0.22	0.12	2.43	0.18				13.23	4.73										49	456	206	45	70	63	112		1.19	100.9	51	136	4						0.436
MORB	MOA8712-048-004	-19.3	-113.5	49.83	2.13	13.73			10.45	6.49	0.22	0.17	3.03	0.2				10.33	3.49										50	448	54	42	51	69	110		3.49	112	51	153	6						0.369
MORB	MOA8712-087-003	-15.17	-112.82	49.88	2.12	13.83			10.9	6.6	0.21	0.13	2.49	0.19				12.55	4.457										47	440	201	44	66	65	111		1.2	97.9	52	142	4						0.454
MORB	MOA8712-082-004	-15.83	-112.95	49.9	2.2	13.69			10.62	6.59	0.22	0.14	2.82	0.2				14.06	5.01										0	465	158	44	70	57	115		1.3	113.9	53	151	4						0.448
MORB	MOA8712-098-002	-13.8	-112.45	49.93	1.57	14.93			11.64	7.68	0.18	0.19	2.39	0.15				9.502	3.186										40	321	295	43	95	73	84		2.06	122.5	35	105	5						0.377
MORB	MOA8712-072-001	-17.03	-113.11	50.01	1.81	13.94			11.33	7.02	0.22	0.11	2.35	0.15				9.522	3.468										48	406	140	47	60	79	104		1.01	90.12	43	112	3						0.314
MORB	MOA8712-080-006	-16.05	-112.98	50.13	1.78	14.11			11.48	7.14	0.2	0.08	2.34	0.14				10.9	4.023										45	401	229	45	81	70	95		0.67	93.67	43	108	3						0.338
MORB	MOA8712-009-005	-22.48	-114.46	50.16	1.76	14.89			11.57	7.39	0.18	0.14	2.63	0.11				11.42	4.035										42	342	323	43	91	44	80		0.5	119.7	37	118	3						0.378
MORB	MOA8712-020-001	-21	-114.19	50.2	1.37	14.82			11.75	7.76	0.18	0.08	2.97	0.12				8.505	3.076										49	309	344	40	79	70	76		0.22	97.8	34	92	2						0.32
MORB	MOA8712-066-004	-17.78	-113.26	50.2	1.63	14.81			11.78	7.74	0.19	0.06	2.33	0.13				9.195	3.423										0	363	239	46	95	80	88		0.44	96.63	37	93	2						0.342
MORB	MOA8712-104-002	-13.08	-110.93	50.33	1.32	15.18			12.2	8.09	0.17	0.11	2.55	0.12				7.831	2.805										0	301	347	47	102	74	77		1.04	107	30	80	2						0.287
MORB	MOA8712-005-003	-23.02	-114.51	50.41	1.02	15.34			12.44	8.36	0.17	0.02	2	0.08				5.983	2.411										45	291	364	44	105	75	77		0.1	75.39	28	54	1						0.156
MORB	MOA8712-102-003	-13.38	-112.33	50.5	1.8	13.9			10.92	6.8	0.21	0.12	2.48	0.15				11.54	4.109										44	403	86	45	54	67	102		1.21	103.8	45	118	3						0.389
MORB	MOA8712-015-003	-21.8	-114.36	50.57	2.05	13.48			10.56	6.47	0.21	0.06	2.58	0.24				12.05	4.607										48	434	88	47	56	53	112		0.51	81.68	51	121	3						0.37
