"1","2","3","4","5","6","7","8","9","10","L","T","Y"
"","","","","","","","","","","","240.4",""
"","","","","","","","","","","","408.71",""
"","","","","","","","","","","","442.17",""
"","","","","","","","","","","","1298.3",""
"","","","","","","","","","","","435.6",""
"","","","","","","","","","","","442.2",""
"","","","","","","","","","","","1103.4",""
"","","","","","","","","","","","1284",""
"","","","","","","","","","","","249.7",""
"","","","","","","","","","","","419.6",""
"","","","","","","","","","","","434.5",""
"","","","","","","","","","","","447.7",""
"","","","","","","","","","","","271",""
"","","","","","","","","","","","2513.94",""
"","","","","","","","","","","","467.5",""
"","","","","","","","","","","","916.2",""
"","","","","","","","","","","","250.9",""
"","","","","","","","","","","","425.8",""
"","","","","","","","","","","","1633.1",""
"","","","","","","","","","","","426.16",""
"","","","","","","","","","","","440.32",""
"","","","","","","","","","","","1294.8",""
"","","","","","","","","","","","425.6",""
"","","","","","","","","","","","934.8",""
"","","","","","","","","","","","1797.9",""
"","","","","","","","","","","","427.7",""
"","","","","","","","","","","","249.3",""
"","","","","","","","","","","","435.2",""
"","","","","","","","","","","","798.2",""
"","","","","","","","","","","","1866.5",""
"","","","","","","","","","","","429.3",""
"","","","","","","","","","","","810",""
"","","","","","","","","","","","764.5",""
"","","","","","","","","","","","761.3",""
"","","","","","","","","","","","1131.9",""
"","","","","","","","","","","","353.62",""
"","","","","","","","","","","","1144.6",""
"","","","","","","","","","","","459.18",""
"","","","","","","","","","","","1709",""
"","","","","","","","","","","","440.77",""
"","","","","","","","","","","","1781.8",""
"","","","","","","","","","","","270.23",""
"","","","","","","","","","","","261",""
"","","","","","","","","","","","442.4",""
"","","","","","","","","","","","343",""
"","","","","","","","","","","","249.6",""
"","","","","","","","","","","","480.4",""
"","","","","","","","","","","","366.7",""
"","","","","","","","","","","","2137.2",""
"","","","","","","","","","","","437",""
"","","","","","","","","","","","406",""
"","","","","","","","","","","","278.6",""
"","","","","","","","","","","","284.6",""
"","","","","","","","","","","","433.9",""
"","","","","","","","","","","","1803.4",""
"","","","","","","","","","","","440.63",""
"","","","","","","","","","","","1064.5",""
"","","","","","","","","","","","287.4",""
"","","","","","","","","","","","436.31",""
"","","","","","","","","","","","1590.7",""
"","","","","","","","","","","","1276.8",""
"","","","","","","","","","","","1506.5",""
"","","","","","","","","","","","1758.7",""
"","","","","","","","","","","","243.9",""
"","","","","","","","","","","","405.38",""
"","","","","","","","","","","","1005.9",""
"","","","","","","","","","","","2598.8",""
"","","","","","","","","","","","503.7",""
